ym,A_long,A_hedged_eem,A_hedged_msci,A_beta_eem,A_beta_msci,B_long,B_hedged_eem,B_hedged_msci,B_beta_eem,B_beta_msci,EEM_ret,MSCI_ret
2018-11-01,0.0591514558487578,0.02656015803346217,0.02634308179599073,0.8049420290769254,0.8083036320752839,0.0388468002451281,0.005044558278519323,0.004940295074110881,0.8348500078196245,0.8353584129659457,0.040489,0.04058917064189482
2018-12-01,-0.0489537209355937,-0.027012674113445035,-0.025214791655986748,0.8127517714531288,0.8159498180031297,-0.0282045408295841,-0.0056541039895486,-0.003901029188465275,0.835325116314843,0.8353555321234853,-0.026996,-0.029093614283416502
2019-01-01,0.0900583995610148,0.018555534199679438,0.018213064804721374,0.8213433348802538,0.8245607534276048,0.0769778254017245,0.004033819759829041,0.003975025123177683,0.8378975101302089,0.8378448538682688,0.087056,0.0871316448880699
2019-02-01,0.0050810864774603,0.003908769532135804,0.004270591638308776,0.8320205431685564,0.8342773004611991,0.0019752103502265,0.0007940919065371945,0.0011618292507080562,0.8382671708227859,0.8372482527622197,0.001409,0.0009714933376510082
2019-03-01,0.0259898635968678,0.01959732292090377,0.020331136307383087,0.8260163685184172,0.8282784742178194,0.0220017421489552,0.015561856683931206,0.01632403159206381,0.8321340567287757,0.831057090496517,0.007739,0.006831913982587201
2019-04-01,0.0192213618039838,0.0022439863689753085,0.0026338240163474858,0.8290138891063279,0.8314434561455057,-0.0025930528277075,-0.019740633666370674,-0.019279536759146232,0.8373251056527746,0.8364030905908707,0.020479,0.019950289661950782
2019-05-01,-0.0832221426082539,-0.02274339251705048,-0.020673399789357352,0.8287484939048924,0.8309343328393151,-0.0461306358646944,0.0147236766031634,0.01654089266787377,0.833894875957271,0.8325654905648562,-0.072976,-0.07527519365479407
2019-06-01,0.0569058751500888,0.0038741498596490467,0.008383516981860989,0.8500989899562341,0.8516586959530664,0.0662935433081876,0.014489808012475389,0.01909728419815763,0.8304143003015598,0.8283831620086162,0.062383,0.05697394789579158
2019-07-01,-0.0180799759369432,-0.007409540834656869,-0.0036977226819517907,0.8469271451929782,0.8499307377344711,-0.0208517328267416,-0.010373435322561162,-0.006791607687014679,0.8316769191348867,0.8308943196018156,-0.012599,-0.016921676810192743
2019-08-01,-0.0402459792583412,0.001891464974600035,0.0030188071054924465,0.8491685992693006,0.8516707689286102,-0.0445578726054032,-0.0031399539484304045,-0.002220843796788434,0.8346684667480713,0.8334077874871232,-0.049622,-0.05079989585442757
