Strategy,Factor,PC,Dev_Sharpe,Dev_Early_SR,Dev_Late_SR,Stability,Stock_TO,PC_TO,Total_TO,TC_Real_Sharpe,Break_Even_TC,DoF,MaxDD,PctPos,r_Performance,r_Stability,r_TC_Robustness,r_Capacity,r_Parsimony,Composite
Corr05EW+Momentum,Corr05EW,Momentum,0.5207715051948332,0.44377895469421064,0.6169805633915395,0.7192754213435179,0.1836209882475732,0.11228363642699674,0.2959046246745699,0.4061133763974605,204.3877567126709,2,-0.200050532473231,0.576271186440678,0.75,0.7,0.6125,0.0125,0.55625,0.5631250000000001
Corr03ICwt+MinVariance,Corr03ICwt,MinVariance,0.4323637397070377,0.41612082128251915,0.4485723226486267,0.9276560328677985,0.1452648685089912,0.0201338839543409,0.1653987524633321,0.3653379254014002,290.2817144167132,3,-0.21699583561992586,0.576271186440678,0.4875,0.95,0.5,0.65,0.2625,0.561875
Corr05EW+BlackLitterman,Corr05EW,BlackLitterman,0.5275979312301495,0.6026874935514941,0.44931176886232105,0.7455136761087137,0.1836209882475732,0.04003060151647708,0.22365158976405028,0.44104280375109983,274.2980987591211,3,-0.21786361176130198,0.5932203389830508,0.7625,0.725,0.7375,0.175,0.2625,0.561875
All6EW+BlackLitterman,All6EW,BlackLitterman,0.46683797288089013,0.49294138432855383,0.432131207205578,0.8766381175201862,0.1841922508619055,0.04477407771581533,0.2289663285777208,0.37499855887287364,228.74393316366658,2,-0.21217159057616886,0.559322033898305,0.5875,0.875,0.525,0.15,0.55625,0.560625
Corr03EW+RiskParity,Corr03EW,RiskParity,0.5164877715700879,0.32003637681102304,0.7542627734578504,0.42430355583352575,0.1771969065670755,0.00736789931999418,0.1845648058870697,0.4434046295668017,318.02066911147347,2,-0.24236625520838184,0.576271186440678,0.7125,0.2125,0.75,0.5,0.55625,0.556875
Corr05EW+HRP,Corr05EW,HRP,0.4744311803553842,0.35671996796161987,0.6110365683692984,0.5837947946611689,0.1836209882475732,0.05142430633687527,0.23504529458444845,0.3788554286070986,223.37677418661,1,-0.2114564941527004,0.5932203389830508,0.6125,0.5125,0.5375,0.125,0.85,0.551875
SF+RiskParity,SF,RiskParity,0.44195149381968835,0.2687972792151445,0.6594806059185961,0.40758936169280446,0.097070021468343,0.007390449519541045,0.10446047098788404,0.40033655111731925,477.9008675831684,2,-0.21897916655823135,0.576271186440678,0.525,0.2,0.6,0.9875,0.55625,0.550625
Corr03ICwt+TO_MVO,Corr03ICwt,TO_MVO,0.5351264145845798,0.3333249218804092,0.7528526890027296,0.4427491948284728,0.1452648685089912,0.0195893246145246,0.1648541931235158,0.4741024923038081,394.61063393320626,5,-0.22997184662986725,0.5932203389830508,0.8125,0.3125,0.8625,0.6625,0.01875,0.54125
All6ICwt+TO_MVO,All6ICwt,TO_MVO,0.4187525082271684,0.43665119355736254,0.39447099252435236,0.9034006968139228,0.1246892457729107,0.012904289737438507,0.1375935355103492,0.36512458697777367,351.3815645135647,4,-0.22825326141330426,0.5932203389830508,0.4375,0.925,0.4875,0.85,0.0875,0.5368750000000001
Corr03EW+MinVariance,Corr03EW,MinVariance,0.44125509084802844,0.3995581263993841,0.4835985553273534,0.8262186104524623,0.1771969065670755,0.021614368061063375,0.19881127462813888,0.3614578194077062,248.83656708752602,2,-0.23368182839119778,0.559322033898305,0.5125,0.7875,0.45,0.3125,0.55625,0.5337500000000001
All6EW+EqualWeight,All6EW,EqualWeight,0.45912392390044426,0.21910417479938132,0.7825871503076267,0.27997415331091724,0.1841922508619055,0.0,0.1841922508619055,0.38644801388494215,284.28369966214245,0,-0.24747085534296165,0.559322033898305,0.55,0.0375,0.5625,0.5125,0.9875,0.531875
