ym,A_long,A_hedged_60m,A_hedged_36m_only,B_long,B_hedged_60m,B_hedged_36m_only,EEM_ret,A_beta_60m,A_beta_36m_only,B_beta_60m,B_beta_36m_only,A_hedged_60m_baseline,A_hedged_24m_only,A_hedged_EW_blend,A_hedged_Recency-wt,A_hedged_InvVar-wt
2018-02-01,-0.0504133781376564,-0.01345585011343104,-0.01229030973032666,-0.0463133719682359,-0.006499162729056582,-0.005825999883569431,-0.046703,0.7913309214445615,0.8162873564295601,0.8524978960490615,0.8669115920747376,-0.01345585011343104,-0.012663459027251744,-0.012966367246110125,-0.012789231564028003,-0.013350018074504227
2018-03-01,0.0113984088833558,0.027416936938941285,0.02782707299006803,-0.0001792324332391,0.016959494142709627,0.01721005861303486,-0.019967,0.8022501154697994,0.8227908101723959,0.8583526106049345,0.8709015398544578,0.027416936938941285,0.02795762238812423,0.027620976604619665,0.02772931936643325,0.027431661675604985
2018-04-01,0.0033830978159128,0.006558614374685294,0.0066526266208367275,0.0042420919396197,0.007651914594833447,0.007709208327220406,-0.003991,0.7956693958337496,0.8192254585126353,0.8543780143356923,0.8687337478328002,0.006558614374685294,0.006872006788374886,0.006656479541404589,0.006708986215413792,0.006579881194270026
2018-05-01,-0.0111573619523669,0.01736162401865799,0.01803471127841943,-0.0114033598438123,0.019209133854914878,0.01863168191322911,-0.03585,0.7955086742266357,0.814283772127931,0.8539049846227944,0.837797538550667,0.01736162401865799,0.019773475890964606,0.018094534914786443,0.018497631835998216,0.017557236340238806
2018-06-01,-0.0309452923592168,0.0021238215958040638,0.002966301335882701,-0.0162436510354214,0.019206210981144625,0.018247048297157724,-0.041852,0.7901441736361671,0.8102741492664508,0.8470291029476733,0.8241111376416689,0.0021238215958040638,0.004526968279442219,0.0029487199113345103,0.003348617558963922,0.002464926393789618
2018-07-01,-0.0010818949471226,-0.018364978010989172,-0.01870980551356337,0.0174530937010098,-0.0008757130158224997,-0.0002530988805879049,0.021829,0.7917487316810926,0.807545492988262,0.8396539794233496,0.8111316405514547,-0.018364978010989172,-0.019471721399779127,-0.018713224599250938,-0.018899406709613993,-0.018507504174740612
2018-08-01,-0.0076041594404435,0.014182397599766014,0.014669578515531401,-0.0282196737672739,-0.005020007105761771,-0.005643248058523478,-0.027659,0.7876841910484658,0.8052980207518313,0.838774600004054,0.8162415744875239,0.014182397599766014,0.0155494468709923,0.014631325733714822,0.014863668052746856,0.014389064158058833
2018-09-01,-0.0525534728039313,-0.048379917508600274,-0.0483570460275509,-0.0313896436918231,-0.02691212647885583,-0.027063380732755195,-0.005319,0.7846503657324733,0.7889503245686031,0.8417968063484242,0.8133602103906576,-0.048379917508600274,-0.048183792443700496,-0.048331664740462854,-0.04829980313300544,-0.04836351638451665
2018-10-01,-0.0822876659915978,-0.01359471638009134,-0.013147426408600019,-0.0581713878198345,0.015295554011881915,0.012075157182474414,-0.086957,0.7899645757271577,0.7951083821083728,0.844865184306225,0.8078308244570179,-0.01359471638009134,-0.0085698557757755,-0.011807348520115252,-0.01111512097409817,-0.012441882693710174
2018-11-01,0.0591514558487578,0.02656015803346217,0.026613583845309492,0.0388468002451281,0.005044558278519323,0.007783634275084321,0.040489,0.8049420290769254,0.803622514842261,0.8348500078196245,0.7672001276900833,0.02656015803346217,0.02395113005155089,0.025745637647367627,0.025392078709389018,0.026127843436015298
2018-12-01,-0.0489537209355937,-0.027012674113445035,-0.02669881405208941,-0.0282045408295841,-0.0056541039895486,-0.007254125404471165,-0.026996,0.8127517714531288,0.8243779405654278,0.835325116314843,0.7760562833424557,-0.027012674113445035,-0.025157629087871423,-0.02634350699589075,-0.02607494540815132,-0.026675955004141275
