,All6EW+TO_MVO_unhedged,All6EW+TO_MVO_hedged,All6EW+Momentum_unhedged,All6EW+Momentum_hedged,All6EW+EqualWeight_unhedged,All6EW+EqualWeight_hedged,Corr05EW+Momentum_unhedged,Corr05EW+Momentum_hedged,SF+Momentum_unhedged,SF+Momentum_hedged
2020-04-01,0.1170472676779408,0.03687254890147229,0.1141460353526104,0.03628393957455324,0.1321030695167276,0.05037890382420819,0.1106892500489475,0.031804131078015344,0.0862572039778931,0.011802119328918378
2020-05-01,0.0102540458417084,0.004920521842670724,0.0290959445614397,0.024010766735100143,0.0230725737553523,0.017704065596817836,0.0313031205988711,0.02614830642595451,0.02969533293432,0.024847140081979278
2020-06-01,0.0854144763921865,0.02174394782950717,0.0948860097903097,0.03446756524702503,0.0746941680617252,0.010800171088579183,0.0835935587856955,0.022176892409781164,0.1091593448658574,0.05135748397700345
2020-07-01,0.0848510171474466,0.007037270421537026,0.08392268318078,0.009689059157788518,0.0700905873247553,-0.007591284947688404,0.0862178508197958,0.011051265156641357,0.0592950435766159,-0.012464452271835694
2020-08-01,0.0086310455681764,-0.010851494078065032,0.0209989978600249,0.002403819703493338,0.0139022055297784,-0.005377879004879444,0.0183243521819104,-0.0005750044268107816,0.019060900972582,0.001108140390587195
2020-09-01,-0.0304172921586154,-0.013896229032634013,-0.0236196519209365,-0.00788849989614862,-0.034734751309477,-0.01840681789986281,-0.0251866955221432,-0.00921071870666591,-0.0319810764441004,-0.016940766464639864
2020-10-01,0.0034320381710127,-0.015109295100959345,0.0045501579258555,-0.013021546007010387,-0.0015018774457904,-0.019794323282859846,0.0056759060185315,-0.012259576857728896,0.0075461235829109,-0.009353142646485834
2020-11-01,0.1039804041215875,0.01818624883641594,0.108499007214063,0.02793046319932202,0.1291416128023795,0.04458382782314406,0.1176221222539969,0.03510379181898299,0.1127642938786934,0.03476253121285605
2020-12-01,0.0894559610440246,0.021811409522545205,0.1132591814641972,0.04941572029360343,0.1016884129288699,0.03429215705593927,0.1084611374125307,0.042722108476835066,0.1048641039164935,0.04294144816360362
2021-01-01,0.0060483341233239,-0.022361299589609022,0.0055694237827973,-0.021647306061391737,0.0029849717807841,-0.025480771691438753,-0.001802065940004,-0.029808344627656493,0.0042158093108459,-0.022165598238691187
2021-02-01,0.0150457262214715,0.008076695266473272,-0.0158002290248447,-0.022404271880704308,-0.0043654475610622,-0.011308500121826394,-0.0164007718575528,-0.023163910878829505,-0.0008506348843846,-0.007262892600014443
2021-03-01,-0.010420994728503,0.005862675273159427,-0.0068950127319642,0.00854696067737093,-0.0103260257166878,0.005905775776966488,-0.0168752584111406,-0.0010504993727935286,-0.0045043894727926,0.010477315249612797
2021-04-01,0.0282686243422567,0.004928228479903669,0.0703929813167582,0.04837167446136312,0.0396628762166303,0.016492032512855224,0.0799818019827627,0.057472698152425464,0.061067005716684,0.040166454803628585
2021-05-01,0.0223947511725819,0.0014882049081718467,0.0200780666513859,0.0002444889743021851,0.0367162205075586,0.015926495091414188,0.0200518748954988,-0.00024257604544595385,0.038144784266496,0.019325570738513532
2021-06-01,0.0233559968510774,0.024485972492218764,0.040679188279281,0.04174538244765342,0.0151098326645352,0.016231391244745243,0.0341601482406883,0.03525458027994071,0.0059076171877493,0.006920239259070022
2021-07-01,-0.0512953234271081,0.018295967834747587,-0.0640457390707067,0.0014296238225858515,-0.0748711853276591,-0.005828832889583135,-0.0530871156305778,0.01421076030642611,-0.0398671581795318,0.022610281561392713
2021-08-01,-0.0049596783280255,-0.028668133215225336,0.012649786489287,-0.009956288558657218,0.0115318122572963,-0.012368958099266995,0.0153216800057675,-0.007703556900056344,0.0187764015140392,-0.002468626629028803
2021-09-01,-0.042744743787657,-0.0012057753919175324,-0.0377467001952,0.0019240246555706497,-0.0332999626641572,0.008604048161260695,-0.0526258655074141,-0.012239632339734373,-0.0175770541174639,0.019828683809405633
2021-10-01,0.0025300878596645,-0.006581060548257021,0.0011543704858225,-0.0075474513470895985,-0.007348868837893,-0.016509450110652798,-0.0004083425270336,-0.00931160554434507,-0.0019949701494381,-0.010136265434757881
2021-11-01,-0.0127558956371196,0.027719533343143084,-0.0244512807275509,0.014217755978057661,-0.0109750996781254,0.029731825548956883,-0.030759599422171,0.008809440116235242,-0.0361128267915704,6.823178442020433e-05
2021-12-01,0.0412012159403126,0.025548349709362636,0.0321568861066304,0.01704763122944818,0.0212059797114084,0.005441754461575101,0.0384095080839575,0.022950134018032135,0.0334961469147812,0.01936559628599207
2022-01-01,-0.0384206772552656,-0.01972622326784578,-0.0249127807879906,-0.00685095772637162,-0.0260489646662917,-0.007232569042731951,-0.0230001937141174,-0.004518983684987071,-0.0147074173240806,0.0021951269344864556
2022-02-01,0.0207351599424013,0.050308754221903666,-0.0063702499966179,0.022124734115697257,-0.0071029078380956,0.02265223016905138,0.0017717926104268,0.030988972943464345,-0.0384743051168621,-0.011550516542542993
2022-03-01,0.015042409997519,0.03910476422396672,0.0228987872132446,0.04635410282842713,-0.004899869869099,0.01956639966134312,0.0096765393617577,0.03365147074941593,0.0362797205397076,0.058697606526214495
2022-04-01,-0.0536376950182218,0.0007790703125556686,-0.0524398827756235,0.0004903117338772162,-0.0505274386542096,0.005040997442382657,-0.0578073474765265,-0.0035358750523169433,-0.0275281827812675,0.022790652241270873
2022-05-01,0.0195100814269057,0.01820233558039435,0.0285073491391163,0.027234138879899044,0.0153847014302734,0.014051581592493607,0.0260373722046172,0.02472793446137445,0.0168418236996254,0.015647309996722696
2022-06-01,-0.0587586225290284,0.009018752014557221,-0.0570964480593007,0.009137479972701062,-0.0412655609144177,0.028055518264036558,-0.0712855330843914,-0.0032854235550661554,-0.0512730761114262,0.010802090442566172
2022-07-01,0.0201491269154184,0.026670949721878234,0.0199616261172293,0.026342190596142907,-0.0057798717091492,0.0008239191069323425,0.0035086598563602,0.010097206164799618,-0.0097100556207635,-0.0037401489714912082
2022-08-01,-0.0053817980232733,-0.005695944812426935,0.0084831964474256,0.008177709862878859,-0.011539756474009,-0.011858628291150829,0.0254646436805686,0.02515110104238767,0.0433429702697013,0.0430576196715199
2022-09-01,-0.1222615690751034,-0.009543469996162499,-0.1305528209080797,-0.021015749274746795,-0.113989824409639,0.00030989107226349344,-0.1194052859124154,-0.007010444157127149,-0.1276676527887324,-0.02547338477324093
2022-10-01,-0.0330199745117281,-0.002714007736152456,-0.0460025204277006,-0.01623317568152223,-0.0528897855264154,-0.02242334109527099,-0.0060664266494916,0.024081079679257978,-0.0368841264200149,-0.008959667744851213
2022-11-01,0.1607387471984162,0.019989189593733248,0.1307760056559447,-0.008344911059931182,0.1744779199618948,0.03230106378814976,0.1171426568630853,-0.02257766513052005,0.1062598458545224,-0.023570374505888544
2022-12-01,-0.0107477609167906,0.005230657440488874,-0.0272806186537928,-0.011900556500076752,-0.0119347273280218,0.00438148004462835,-0.0213630837552323,-0.006101562786342567,-0.0286302876846465,-0.01448671453946161
2023-01-01,0.0317713127896767,-0.044794830837099,0.0322435862649292,-0.04181901693573729,0.0496772330037625,-0.028523765007124897,0.0481029012028879,-0.025304214474007124,0.0519605353616551,-0.01598492974623321
2023-02-01,-0.0700085639407899,-0.006475717199932368,-0.0749976172287583,-0.013454978009157334,-0.0622273825330459,0.003081199600753981,-0.0833634165591579,-0.02230108578281067,-0.0969569231174129,-0.04007523316030449
2023-03-01,0.0552675405703715,0.02875391128306705,0.0361299754744442,0.010352587127530944,0.0326972761958011,0.005456621136603494,0.040740533863318,0.015104900852668225,0.0182511423999058,-0.00592444551582395
2023-04-01,0.0145042150243855,0.027593878089447105,0.0041522256755324,0.01681788700196419,0.0099340755467749,0.023310921252534124,0.0305744467330791,0.04319296275929274,-0.004405415812084,0.007447493998859691
2023-05-01,-0.0243716902471243,-0.005827547440534625,-0.0345658830589913,-0.016607971441707902,-0.0399342219450096,-0.020976614417985064,-0.0493949349741027,-0.03154519764446289,-0.0504424378661592,-0.033625602345088976
2023-06-01,0.024495120707134,-0.007266334862250853,0.034075734795198,0.0032897737588933433,0.0384226054125284,0.005965881349319559,0.0415656750863433,0.010887373025298006,0.0377958604383877,0.008962933259125387
2023-07-01,0.062209782712944,0.005112341480372963,0.0668417964756585,0.011197391694270468,0.0599702915473273,0.0015686507315912993,0.0676872123551545,0.012231023031658267,0.0810713686647339,0.02899997339831984
2023-08-01,-0.0791101830228605,-0.016387286353466743,-0.078573582781608,-0.017437980882844054,-0.0744758397316332,-0.01057945571885456,-0.057405336120502,0.003572223684015989,-0.0526614148088626,0.004975692399732584
2023-09-01,-0.0119338321389019,0.016080683961556715,-0.018245986152783,0.00898176251525543,-0.0067415310184482,0.021638994824452886,-0.0178955401778013,0.009029090191239677,-0.0246966841311857,0.0008292148057996648
2023-10-01,-0.05502776364685,-0.015862306903458336,-0.0483059497857477,-0.010161656511303518,-0.044246195832301,-0.0045427457646885355,-0.0405458473339315,-0.0028331234220292517,-0.0386291702550149,-0.00286436619279256
2023-11-01,0.0937635899476868,0.015427580266920426,0.0747293751577216,-0.0023425199334723146,0.0719308017145792,-0.008082238599058045,0.0744603889671195,-0.00113318667249393,0.0686430600228332,-0.002849644589371522
2023-12-01,0.0606819915081774,0.023597126965568586,0.046381741405946,0.01002197471936623,0.0488496241343849,0.01125447776651562,0.0509711918560378,0.015207949020719952,0.0522558385626812,0.018429229479950737
2024-01-01,-0.0550650856969105,-0.008313044394318736,-0.0438922338316983,0.001985979525640412,-0.0472738635085512,0.0001948530421789288,-0.0349497373783026,0.010164270770590962,-0.0438033606128869,-0.0010750198098122693
2024-02-01,0.048716552450012,0.0023207257144869445,0.0457639276238324,0.00010716647493724113,0.0511998718420421,0.0038545377777015194,0.0393765117087386,-0.005660402977649956,0.0313628590277424,-0.01170489018306186
2024-03-01,0.0298832282578872,0.008028489072771393,0.0250175456605946,0.0035236909973223214,0.0262699642579016,0.003952615173443332,0.0270925304409496,0.0059289903225096564,0.0269732968994807,0.006764618767945187
2024-04-01,0.0007658104270596,-0.0018762812991339538,0.0063751041422032,0.0037777192070574165,-0.0060742584873359,-0.008772091753415472,0.0166245698798311,0.014067327562988554,0.0087280767275381,0.006285438446080973
2024-05-01,0.0397883416610403,0.036902483852588465,0.0274292495016653,0.024585293513506416,0.0043044481481434,0.0013536247559813954,0.0216171678527929,0.018817977035290933,0.0054390191618126,0.0027692598598720967
2024-06-01,0.0374351955338967,0.002013627230845118,0.0307655444365518,-0.004720126398910812,0.0291027078802256,-0.007543254487949319,0.018873394118223,-0.01592440945596087,0.0115988613413316,-0.021407353704555338
2024-07-01,-0.013522070919914,-0.01216321688815922,-0.0098495221313189,-0.008494330285575159,0.0027408328283817,0.004141768387680104,0.0011898581841877,0.0025164930071941106,0.0094789173641209,0.010737633187466965
2024-08-01,0.0322988878401463,0.018376591347315632,0.0338652194327026,0.019985207998895294,0.0282079455125785,0.013853377216262779,0.0301513198757486,0.016576885534558536,0.0314573008741156,0.018568066091563636
2024-09-01,0.0588664202798307,-0.005552672662251415,0.065701949988827,0.0015523984116911776,0.0732935205775231,0.006773902161814491,0.0541709111511737,-0.008436703121263156,0.0807404309245251,0.021306580750969528
2024-10-01,-0.03819926821712,0.0054327485552704904,-0.0518695864793785,-0.008300370639211165,-0.0575603334648076,-0.012281790247966655,-0.0487080448654368,-0.006377376300088063,-0.0489092167478508,-0.00822383045795154
2024-11-01,-0.0478444886566288,-0.011577019737748571,-0.0531329601478829,-0.016787076332125957,-0.0459347948247917,-0.008140516003487072,-0.0509662850170164,-0.015524245721444188,-0.0410950846872648,-0.007089674502926205
2024-12-01,2.158755970864821e-05,0.0028731356854688394,0.0003735914828862,0.0032338774630138313,-0.0116483635691977,-0.008681307459910453,-0.0034349923995171,-0.0006459551938045997,0.0060847571045119,0.008754546056049644
2025-01-01,0.0282155173530949,0.011636053822367761,0.0209010182643367,0.004240358114617631,0.0204774167353113,0.0032081275333088292,0.0369647538342263,0.02080450353323898,0.0239420038193383,0.008507721923884028
2025-02-01,-0.0232859360999711,-0.026796922271658242,-0.002303426874035,-0.005842191541450593,-0.0221042736451869,-0.02577797218524953,-0.0039649222102687,-0.007402804613732035,0.0220629953667327,0.018785848822899045
2025-03-01,0.0133349223607556,-0.007824473066954328,0.0222960019923807,0.0009618753765772182,0.0376523759092817,0.015554426527888961,0.0141417040100551,-0.0066441562318641165,0.0091255261871859,-0.010654985475838714
