Factor,PC,Gross_Sharpe,Stock_TO,PC_TO,Total_TO,TC_Adj_Sharpe,TC_Drag_Ann,BreakEven_TC,Stability,DoF,r_Performance,r_Stability,r_Parsimony,r_TC_Robustness,r_LowTurnover,Composite
Corr03-EW,RiskParity,0.5164877715700881,0.1771969065670755,0.0073678993199941,0.1845648058870696,0.4434046295668013,0.009966499517901758,318.02066911147335,0.42430355583352597,2,0.75,0.2125,0.51875,0.75,0.5,0.5443749999999999
Corr03-ICwt,TO_MVO,0.5351264145845791,0.1452648685089912,0.0195893246145246,0.1648541931235158,0.4741024923038072,0.008902126428669851,394.6106339332054,0.4427491948284728,5,0.8625,0.3125,0.01875,0.9,0.6625,0.541875
All6-EW,BlackLitterman,0.4668379728808902,0.1841922508619055,0.0447740777158153,0.22896632857772078,0.3749985588728734,0.012364181743196923,228.74393316366647,0.8766381175201828,2,0.525,0.875,0.51875,0.3,0.15,0.54
Corr05-EW,EqualWeight,0.4857112394750288,0.1836209882475732,0.0,0.1836209882475732,0.4124480266919135,0.009915533365368953,298.3353438386687,0.35234613728797176,1,0.65,0.125,0.80625,0.6375,0.5375,0.536875
Corr03-EW,MinVariance,0.44125509084802833,0.1771969065670755,0.0216143680610633,0.1988112746281388,0.3614578194077061,0.010735808829919494,248.83656708752588,0.8262186104524613,2,0.45,0.7875,0.51875,0.4375,0.3125,0.5325000000000001
All6-ICwt,RiskParity,0.3818883469914788,0.1246892457729107,0.007529139512237,0.1322183852851477,0.32813804503230004,0.007139792805397976,319.71868042095747,0.47172554781057474,2,0.3875,0.3625,0.51875,0.7625,0.9,0.515
All6-EW,EqualWeight,0.45912392390044404,0.1841922508619055,0.0,0.1841922508619055,0.3864480138849415,0.009946381546542895,284.283699662142,0.2799741533109172,0,0.5625,0.0375,0.96875,0.575,0.5125,0.5093749999999999
Corr05-EW,HRP,0.47443118035538395,0.1836209882475732,0.0514243063368752,0.2350452945844484,0.37885542860709825,0.012692445907560211,223.3767741866097,0.5837947946611703,1,0.5375,0.5125,0.80625,0.25,0.125,0.5006249999999999
All6-EW,MeanCVaR,0.4209065671419577,0.1841922508619055,0.0302340655752451,0.2144263164371506,0.3370704552753483,0.01157902108760613,225.92645459899828,0.6432461269603885,1,0.4125,0.6,0.80625,0.275,0.225,0.49875
All6-ICwt,HRP,0.388596202088993,0.1246892457729107,0.0666914176587508,0.1913806634316615,0.31147126586242224,0.010334555825309719,226.73378999800389,0.6859033111905725,1,0.2875,0.65,0.80625,0.2875,0.45,0.498125
Corr05-EW,Momentum,0.5207715051948331,0.1836209882475732,0.1122836364269967,0.2959046246745699,0.4061133763974602,0.015978849732426775,204.38775671267072,0.7192754213435192,2,0.6125,0.7,0.51875,0.1875,0.0125,0.491875
All6-EW,Momentum,0.5337850647104381,0.1841922508619055,0.0959093220830503,0.2801015729449558,0.42165381317027756,0.015125484939027614,214.21617597273166,0.43536601609740905,1,0.7125,0.275,0.80625,0.2125,0.025,0.47812499999999997
Corr05-EW,InverseVol,0.46147670129899476,0.1836209882475732,0.0105894145552607,0.1942104028028339,0.38295225629389146,0.010487361751353029,264.4584314744946,0.38771800160971115,1,0.55,0.1625,0.80625,0.4875,0.35,0.475
All6-EW,MinVariance,0.32703107123886077,0.1841922508619055,0.0244195423611444,0.2086117932230499,0.2434941758616732,0.011265036834044694,176.16644884037083,0.8965318870709343,1,0.175,0.8875,0.80625,0.0875,0.25,0.47375
Corr05-EW,RiskParity,0.4753490967958398,0.1836209882475732,0.0077958694947206,0.1914168577422938,0.39809252029903036,0.010336510318083865,276.8788150572032,0.4323868105844494,2,0.5875,0.2625,0.51875,0.5625,0.4375,0.47375
All6-ICwt,MaxSharpe,0.3705775853000799,0.1246892457729107,0.0563099126695867,0.1809991584424974,0.299086083298684,0.00977395455589486,233.2583715778978,0.897160355413819,3,0.25,0.9125,0.24375,0.325,0.5625,0.45687500000000003
All6-EW,HRP,0.4216683822450331,0.1841922508619055,0.0642856482999959,0.24847789916190138,0.3227926500151902,0.013417806554742673,191.90833557538375,0.5335509303963951,0,0.3625,0.475,0.96875,0.15,0.1,0.45375000000000004
Corr03-ICwt,BlackLitterman,0.5446910776470958,0.1452648685089912,0.0674089474406644,0.21267381594965562,0.4635361760538447,0.011484386061281403,302.0285652857926,0.4292576642200906,4,0.8125,0.25,0.08125,0.65,0.2375,0.44375000000000003
All6-EW,InverseVol,0.4184966734311198,0.1841922508619055,0.0098501556012317,0.1940424064631372,0.3407557541082905,0.010478289949009408,242.24501676133553,0.3489250934733906,0,0.425,0.1125,0.96875,0.3875,0.3625,0.44375
All6-ICwt,BlackLitterman,0.3790995431295682,0.1246892457729107,0.0571715440864553,0.181860789859366,0.3091164503609211,0.009820482652405763,243.76572634802653,0.8283017571322866,3,0.2625,0.8,0.24375,0.4,0.55,0.4425
Top3-EW,HRP,0.2991214007091244,0.1531772715472313,0.0477693791004064,0.2009466506476377,0.22393264207354494,0.010851119134972435,179.0222804069686,0.8325387073451377,1,0.1125,0.8125,0.80625,0.1,0.2875,0.441875
Corr05-EW,MinVariance,0.4010027891857533,0.1836209882475732,0.0213610969901757,0.2049820852377489,0.3188377131879022,0.01106903260283844,219.62038365096706,0.7167164534881545,2,0.35,0.6875,0.51875,0.225,0.275,0.441875
All6-EW,RiskParity,0.4272841745647516,0.1841922508619055,0.0076326003148189,0.1918248511767244,0.3504839905759052,0.010358541963543117,250.36122124663447,0.36394253558242695,1,0.4375,0.15,0.80625,0.45,0.4125,0.43875000000000003
Corr03-EW,BlackLitterman,0.5145074653892744,0.1771969065670755,0.0766876860827577,0.2538845926498332,0.4187844620824352,0.013709768003090992,241.8732712376475,0.5655490790733737,3,0.675,0.5,0.24375,0.375,0.0625,0.43875
