Strategy,Factor,PC,Dev Sharpe,Holdout Sharpe,Decay,Holdout AnnRet,Holdout MaxDD
Corr03EW+TO_MVO,Corr03EW,TO_MVO,0.5192919493698542,0.3440891229902898,-0.1752028263795644,0.06594351926708351,-0.3123448909689598
SF+HRP,SF,HRP,0.4352563863876019,0.342384211919135,-0.0928721744684669,0.06303839202493486,-0.3053700162109868
Corr03EW+EqualWeight,Corr03EW,EqualWeight,0.5447997077314178,0.34172337815571685,-0.203076329575701,0.06404238484638622,-0.31219277126176126
Corr03EW+HRP,Corr03EW,HRP,0.5339654702542971,0.333286907420393,-0.20067856283390406,0.06107467527990089,-0.33043007151622916
Corr03ICwt+TO_MVO,Corr03ICwt,TO_MVO,0.5351264145845798,0.3314779123347755,-0.20364850224980424,0.06260599776477542,-0.3416833917984726
Top3ICwt+MaxSharpe,Top3ICwt,MaxSharpe,0.25980406824932767,0.3312027984625444,0.07139873021321674,0.06106861147995464,-0.3563367008157905
Corr03EW+RiskParity,Corr03EW,RiskParity,0.5164877715700879,0.3255777662667398,-0.19091000530334806,0.060475734338064295,-0.32221177237429965
Corr05EW+MinVariance,Corr05EW,MinVariance,0.4010027891857534,0.32525731323776114,-0.07574547594799225,0.058014824390956024,-0.3533358460480386
All6EW+MinVariance,All6EW,MinVariance,0.3270310712388611,0.32146106378930245,-0.005570007449558656,0.057570861355436334,-0.37987324479671514
Top3EW+MeanCVaR,Top3EW,MeanCVaR,0.3800437618547753,0.3213650753253063,-0.058678686529469004,0.057455975427607324,-0.3180405321178348
All6ICwt+MeanCVaR,All6ICwt,MeanCVaR,0.3474724619015602,0.3136710869995319,-0.033801374902028336,0.056830037386217405,-0.32470802015494704
Corr03EW+InverseVol,Corr03EW,InverseVol,0.4889843041565756,0.31126160791685065,-0.17772269623972498,0.05658401873896865,-0.31966450662283097
Corr03EW+BlackLitterman,Corr03EW,BlackLitterman,0.5145074653892747,0.3004347476449443,-0.2140727177443304,0.05634358097817109,-0.3277152524367456
Top3ICwt+TO_MVO,Top3ICwt,TO_MVO,0.2761060260854835,0.28830157155879266,0.012195545473309144,0.05368209109854625,-0.3435622286137998
Corr05EW+MeanCVaR,Corr05EW,MeanCVaR,0.47250082074385347,0.28789995746155633,-0.18460086328229713,0.05222479124307956,-0.3133418837214602
Corr03EW+MaxSharpe,Corr03EW,MaxSharpe,0.5729789508951677,0.2827860847320036,-0.2901928661631641,0.053885822573698464,-0.34405683824666966
Corr03ICwt+MaxSharpe,Corr03ICwt,MaxSharpe,0.546821789600186,0.2801758324986915,-0.2666459571014945,0.05199582588879395,-0.3530451171624024
Top3EW+TO_MVO,Top3EW,TO_MVO,0.3736542632805632,0.2774140174891727,-0.09624024579139051,0.05110660010731441,-0.3621563500233129
Corr03ICwt+MeanCVaR,Corr03ICwt,MeanCVaR,0.536244584635461,0.2670114708327162,-0.2692331138027448,0.04810497626594265,-0.32407587810566096
SF+MeanCVaR,SF,MeanCVaR,0.49639743900694017,0.2579934519542132,-0.23840398705272697,0.046666456192308525,-0.2720263785925715
Corr03EW+MinVariance,Corr03EW,MinVariance,0.44125509084802844,0.2549047969435861,-0.18635029390444235,0.04566600390923342,-0.33734843669849635
Corr03EW+MeanCVaR,Corr03EW,MeanCVaR,0.5934559956566475,0.2508935403657909,-0.3425624552908566,0.04588733985168333,-0.3346799551694466
All6EW+MeanCVaR,All6EW,MeanCVaR,0.4209065671419575,0.2480980412261019,-0.1728085259158556,0.04442637211163662,-0.36845277731108417
Top3ICwt+MeanCVaR,Top3ICwt,MeanCVaR,0.18221522345506924,0.22085041027501084,0.0386351868199416,0.04122126038222737,-0.3200056495055802
