ym,threshold,cap_conservative,cap_10th_pctile,cap_median,binding_stock,binding_country,n_stocks
2020-06-01,0.1,1.536658460353618,12.41172980941825,57.21433740829192,ISA.CN,COLOMBIA,101
2020-06-01,0.15,2.3049876905304267,18.617594714127378,85.82150611243787,ISA.CN,COLOMBIA,101
2020-06-01,0.2,3.073316920707236,24.8234596188365,114.42867481658384,ISA.CN,COLOMBIA,101
2020-06-01,0.25,3.8416461508840447,31.029324523545625,143.0358435207298,ISA.CN,COLOMBIA,101
2020-07-01,0.05,0.7097299280780265,4.7906930341742315,24.960079759864414,ISA.CN,COLOMBIA,101
2020-07-01,0.1,1.419459856156053,9.581386068348463,49.92015951972883,ISA.CN,COLOMBIA,101
2020-07-01,0.15,2.1291897842340797,14.372079102522697,74.88023927959324,ISA.CN,COLOMBIA,101
2020-07-01,0.2,2.838919712312106,19.162772136696926,99.84031903945765,ISA.CN,COLOMBIA,101
2020-07-01,0.25,3.5486496403901326,23.953465170871162,124.80039879932207,ISA.CN,COLOMBIA,101
2020-08-01,0.05,0.49365809129359944,4.139078367110246,25.324224779879746,ISA.CN,COLOMBIA,98
2020-08-01,0.1,0.9873161825871989,8.278156734220492,50.64844955975949,ISA.CN,COLOMBIA,98
2020-08-01,0.15,1.480974273880798,12.417235101330736,75.97267433963923,ISA.CN,COLOMBIA,98
2020-08-01,0.2,1.9746323651743978,16.556313468440983,101.29689911951898,ISA.CN,COLOMBIA,98
2020-08-01,0.25,2.4682904564679973,20.695391835551224,126.62112389939871,ISA.CN,COLOMBIA,98
2020-09-01,0.05,0.5957203955505922,5.4156178843981,25.301715702976317,ISA.CN,COLOMBIA,100
2020-09-01,0.1,1.1914407911011844,10.8312357687962,50.603431405952634,ISA.CN,COLOMBIA,100
2020-09-01,0.15,1.787161186651776,16.246853653194297,75.90514710892893,ISA.CN,COLOMBIA,100
2020-09-01,0.2,2.382881582202369,21.6624715375924,101.20686281190527,ISA.CN,COLOMBIA,100
2020-09-01,0.25,2.97860197775296,27.078089421990494,126.50857851488158,ISA.CN,COLOMBIA,100
2020-10-01,0.05,0.5034044699337147,4.497032239892974,20.412836031518044,ISA.CN,COLOMBIA,97
2020-10-01,0.1,1.0068089398674294,8.994064479785948,40.82567206303609,ISA.CN,COLOMBIA,97
2020-10-01,0.15,1.510213409801144,13.491096719678918,61.23850809455411,ISA.CN,COLOMBIA,97
2020-10-01,0.2,2.0136178797348587,17.988128959571895,81.65134412607217,ISA.CN,COLOMBIA,97
2020-10-01,0.25,2.517022349668573,22.485161199464866,102.0641801575902,ISA.CN,COLOMBIA,97
2020-11-01,0.05,0.4658570258238254,4.449057796475606,29.354778689573575,ISA.CN,COLOMBIA,97
2020-11-01,0.1,0.9317140516476508,8.898115592951212,58.70955737914715,ISA.CN,COLOMBIA,97
2020-11-01,0.15,1.397571077471476,13.347173389426816,88.0643360687207,ISA.CN,COLOMBIA,97
2020-11-01,0.2,1.8634281032953015,17.796231185902425,117.4191147582943,ISA.CN,COLOMBIA,97
2020-11-01,0.25,2.3292851291191266,22.245288982378028,146.77389344786786,ISA.CN,COLOMBIA,97
2020-12-01,0.05,0.7293191751255708,6.8552627949659675,32.43160649588615,ISA.CN,COLOMBIA,97
2020-12-01,0.1,1.4586383502511415,13.710525589931935,64.8632129917723,ISA.CN,COLOMBIA,97
2020-12-01,0.15,2.187957525376712,20.565788384897903,97.29481948765844,ISA.CN,COLOMBIA,97
2020-12-01,0.2,2.917276700502283,27.42105117986387,129.7264259835446,ISA.CN,COLOMBIA,97
2020-12-01,0.25,3.6465958756278534,34.27631397482983,162.15803247943074,ISA.CN,COLOMBIA,97
2021-01-01,0.05,0.5136970827427386,4.632263926356596,43.637443904543005,ISA.CN,COLOMBIA,99
2021-01-01,0.1,1.0273941654854772,9.264527852713192,87.27488780908601,ISA.CN,COLOMBIA,99
2021-01-01,0.15,1.5410912482282155,13.896791779069787,130.91233171362902,ISA.CN,COLOMBIA,99
2021-01-01,0.2,2.0547883309709545,18.529055705426384,174.54977561817202,ISA.CN,COLOMBIA,99
2021-01-01,0.25,2.5684854137136925,23.16131963178298,218.18721952271503,ISA.CN,COLOMBIA,99
2021-02-01,0.05,0.6875423126321882,7.8663489909373,53.51263773392081,ISA.CN,COLOMBIA,102
