ym,MSCI EM,Single-Factor (Raw),Single-Factor (Resid)
2015-02-01,0.029814581795114314,0.02284620948774739,0.02284620948774739
2015-03-01,-0.015864200024235497,-0.00038220491431520886,0.0002760498463622454
2015-04-01,0.0751203094698174,0.07808891302931148,0.08378109749466825
2015-05-01,-0.041573612781309,-0.032077430622428446,-0.03182832468649788
2015-06-01,-0.03183565354205253,-0.02499118920468929,-0.02539342492611345
2015-07-01,-0.07258421187966069,-0.035383037052298734,-0.040510775891718136
2015-08-01,-0.09199494277348941,-0.0828100940188827,-0.0862394128459355
2015-09-01,-0.03258705556166264,-0.028679202442687193,-0.02627057148890851
2015-10-01,0.07043747238179421,0.0662757478733135,0.06808388738976752
2015-11-01,-0.03955935082090967,-0.04062236686534662,-0.03868254439347427
2015-12-01,-0.024757460395431585,-0.006392086430444573,-0.006837010725653892
2016-01-01,-0.06519001687359904,-0.050210042303682006,-0.06640777901886531
2016-02-01,-0.0027479558710615803,-0.0029449196918257185,0.0007863628308006997
2016-03-01,0.13030675509570044,0.11028054814844336,0.10703776015837228
2016-04-01,0.004051147227533525,0.008986030356844261,0.0006686192612083465
2016-05-01,-0.038967376426760625,-0.037506207138214794,-0.024418219918279003
2016-06-01,0.033005139637129144,0.0381157307203761,0.03301263444224592
2016-07-01,0.04720057547056711,0.036851854546353396,0.03903169334070891
2016-08-01,0.023137600604485442,0.016397293060589572,0.016679723782614946
2016-09-01,0.01094351445707642,0.007200832914502054,0.006253105473168346
2016-10-01,0.0018041750603237094,-0.01581759910568002,-0.018095961007384063
2016-11-01,-0.04669148924416355,-0.040057765051131365,-0.040057765051131365
2016-12-01,-0.0006490270389301056,-0.0016616608679366908,-0.0016616608679366908
2017-01-01,0.054460899718185685,0.050579267955179884,0.050579267955179884
2017-02-01,0.029849433036745365,0.02854207170689503,0.02854207170689503
2017-03-01,0.0234949859564062,0.026277699196542638,0.026277699196542638
2017-04-01,0.020440957041643726,0.010172187789015954,0.010172187789015954
2017-05-01,0.027986829727187246,0.04210135952211122,0.03941044707682601
2017-06-01,0.005440999472809738,0.014669802388904224,0.008784601294712608
2017-07-01,0.05483775227542553,0.06022773100654812,0.06554627979470877
2017-08-01,0.02013636832578336,0.0218113927018519,0.019946273343490712
2017-09-01,-0.005497839477797251,-0.0009895195144499715,-0.0016288472890728088
2017-10-01,0.034537588285323384,0.028527721805745778,0.030849053552293712
2017-11-01,0.0015280408907316634,-0.0008926088629103911,-0.004396958992331346
2017-12-01,0.033601299083682035,0.0431229660598681,0.042091207977688457
2018-01-01,0.0829902024256548,0.05632466780599876,0.051913808221691754
2018-02-01,-0.047346144955722536,-0.04796919340746519,-0.04614314219646014
2018-03-01,-0.020339862281310905,0.015871697457296056,0.015612708918776218
2018-04-01,-0.0055086772342169965,-0.002057050871467873,-0.005310358095952181
2018-05-01,-0.0375462672723994,-0.006975291620411165,-0.021924676548717107
2018-06-01,-0.04567640156686392,-0.026135337019550123,-0.03474215232479717
2018-07-01,0.016773879871344155,0.01923510017234371,0.017512407667244136
2018-08-01,-0.028966582678903174,-0.014327092449839283,-0.01428645857007342
2018-09-01,-0.007623394825561514,-0.03243132593820387,-0.025288361502299586
2018-10-01,-0.08778425628155095,-0.08379385538500078,-0.08486666753868378
2018-11-01,0.04058917064189482,0.04169713620272535,0.048269324068764295
2018-12-01,-0.029093614283416502,-0.0259859158900389,-0.030784237373817927
2019-01-01,0.0871316448880699,0.06064517057396131,0.05713918920284869
2019-02-01,0.0009714933376510082,0.00042908917448775417,5.102876448091812e-05
2019-03-01,0.006831913982587201,0.0070046943494585096,0.004711109055311389
2019-04-01,0.019950289661950782,0.009362842692597828,0.0107867537710721
2019-05-01,-0.07527519365479407,-0.06831189190351895,-0.06275543280780158
2019-06-01,0.05697394789579158,0.05149250011482291,0.04295582530031625
2019-07-01,-0.016921676810192743,-0.02087807498282239,-0.0246944706156675
2019-08-01,-0.05079989585442757,-0.04156442774920459,-0.042030302536230725
2019-09-01,0.016935377363282544,0.024874281159376333,0.02331304299119554
2019-10-01,0.04093906093906097,0.08359789542174939,0.07781835681502423
2019-11-01,-0.0018522428453521256,-0.01636343847377302,-0.02325599044745421
2019-12-01,0.07173693572424411,0.08072949040272791,0.07708687779158487
2020-01-01,-0.04693807977320452,-0.05243983319031005,-0.050851724808709274
2020-02-01,-0.05348570137620723,-0.05051044596631973,-0.05757441397407712
2020-03-01,-0.15607844697271056,-0.1344603825920789,-0.13677570871949318
2020-04-01,0.08998562304084468,0.09716135044641055,0.09162448549088155
2020-05-01,0.005849028045062266,0.029122228063111336,0.029434788912540387
2020-06-01,0.06959746332025585,0.07166030182307427,0.07340369123536111
2020-07-01,0.08423274042809781,0.061768886138471084,0.06219988133404179
2020-08-01,0.02092833574315045,0.020687471094733415,0.014239128903964166
2020-09-01,-0.017703132092600993,-0.02515326455422409,-0.02692632313397978
2020-10-01,0.019833641404805924,-0.001314874851894773,-0.0004792736624731821
2020-11-01,0.0920830841172311,0.13678193322403212,0.13355366104409
2020-12-01,0.0715228161019692,0.10158172165521971,0.09825967433712669
2021-01-01,0.02966869569257935,0.001756000320686063,-0.0016940451452910816
2021-02-01,0.007288070579209771,0.012679438935928478,0.005587834084961227
2021-03-01,-0.017046727297164055,-0.002818534782068329,-0.0067768209026497364
2021-04-01,0.023685270010558757,0.040735575869643964,0.03128856941924566
2021-05-01,0.021222757325932706,0.04932587334408554,0.0390227384616016
2021-06-01,-0.001140814265264689,0.009372432521247998,0.0004366131134084176
2021-07-01,-0.07044753535471115,-0.0603257557524629,-0.061450614929198656
2021-08-01,0.02415871028329941,0.017314318502126454,0.013905149254128878
2021-09-01,-0.04246295857626459,-0.015194596037053771,-0.026967959555137165
2021-10-01,0.009296943579921946,-0.012409074131657627,-0.008355173430277337
2021-11-01,-0.04137576596165249,-0.023218615121301755,-0.024190952183179026
2021-12-01,0.016157767110407173,0.022555361239725156,0.0186305817649107
2022-01-01,-0.019301791381563405,-0.012194642789238229,-0.014034361597807899
2022-02-01,-0.030557095917168153,-0.024920031511181728,-0.030671640532764097
2022-03-01,-0.025202550989917305,-0.003716471729427888,-0.0008645288804354604
2022-04-01,-0.05745364734320668,-0.031729359580139144,-0.02750674436869538
2022-05-01,0.0013752218474432087,0.006081440873908747,0.006639612660559299
2022-06-01,-0.07145044401347367,-0.022684010773859942,-0.024386578934014094
2022-07-01,-0.0068853867908501565,-0.024399352038242585,-0.00518710191525219
2022-08-01,0.00033206544708086483,-0.000677394919770172,-5.804480622466325e-05
2022-09-01,-0.11902103388960983,-0.12205535016257353,-0.11170949329850234
2022-10-01,-0.03154865892508474,-0.05070259076780257,-0.05514732125538013
2022-11-01,0.14635210337672144,0.2113174833524031,0.19631981657916084
2022-12-01,-0.016363430663690837,-0.009003894969805646,-0.008757489370161927
2023-01-01,0.0785461845709865,0.0475251661647838,0.04977835518919119
2023-02-01,-0.06542898691226373,-0.09111925054422661,-0.09176531169190039
2023-03-01,0.02725075466022142,0.037885870711139275,0.036208184482166964
2023-04-01,-0.013359857817990872,0.012259880155846399,0.007033187558052537
2023-05-01,-0.01895501765518648,-0.04459575102172703,-0.04813397665881735
2023-06-01,0.0322890259042492,0.03986272515199396,0.03794275886902134
2023-07-01,0.058040586974976716,0.05449067602600483,0.05538348185210133
2023-08-01,-0.06359667975279637,-0.06251349541092477,-0.06523900531077181
2023-09-01,-0.028102781716360936,-0.010016649568607174,-0.016394274454549298
