ric,name,country,industry,total_contribution,avg_weight,months_held,avg_monthly_return,total_return
DELTA.BK,DELTA ELECTRONICS,THAILAND,TECNO,0.0021316928068806223,0.01819776714513557,38,0.00322289653601982,-0.49288936526482663
036570.KS,NCSOFT,SOUTH KOREA,CODIS,0.002034243129752778,0.006353708020618052,54,0.00745037526396027,0.1435966738140424
7203.SE,AL,SAUDI ARABIA,TECNO,0.001995091653998496,0.016666666666666666,14,0.0085503928028507,0.05662561567159763
HROM.NS,HERO MOTOCORP,INDIA,CODIS,0.001948325126890511,0.015584859584859587,35,-0.0020470582047398774,-0.14377552330033982
BBNI.JK,BANK NEGARA INDONESIA,INDONESIA,FINAN,0.0019404064703848775,0.002425859919916292,122,0.0094013068387931,0.4781647695018849
BRIT.NS,BRITANNIA INDS.,INDIA,COSTP,0.0018323294816830426,0.005785362000896112,62,0.005713221344279793,0.22100795469199008
009150.KS,SAMSUNG ELTO.MECHANICS,SOUTH KOREA,TECNO,0.0017554283118053958,0.02212121212121212,11,0.009503442238338482,0.04441189777615295
DLF.NS,DLF,INDIA,RLEST,0.001510334006141182,0.0034285714285714284,38,0.015861819019205463,0.5556068484564285
2007.HK,COUNTRY GARDEN HOLDINGS,CHINA,RLEST,0.001486516717292703,0.02904761904761905,4,-0.05598047643690675,-0.24024610126562806
TITN.NS,TITAN COMPANY,INDIA,CODIS,0.0014607376792739257,0.002892476077423272,86,0.01550983487232583,1.6861118015308785
CPALL.BK,CP ALL,THAILAND,COSTP,0.001435098519996112,0.005832685830358683,39,0.01066021929751289,0.44197792578219586
010950.KS,S,SOUTH KOREA,ENEGY,0.0013070866531520369,0.0027008928573257983,64,0.006953589690478169,0.040604390176559146
APLH.NS,APOLLO HOSPS.ENTERPRISE,INDIA,HLTHC,0.0012919671938469138,0.004204081775528794,49,0.01695777240487548,0.871573198132034
0788.HK,CHINA TOWER,CHINA,TELCM,0.001224808696330905,0.005,6,0.0408269565443635,0.21866155521967112
2020.SE,SABIC AGRI,SAUDI ARABIA,BMATR,0.0012233059600561427,0.020512171927152687,3,0.015104674177466934,0.04301524352488317
8046.TW,NAN YA PRINTED CUB.,TAIWAN,TECNO,0.0012003047614340399,0.015384615384615385,2,0.039009904746606296,0.07580996487513181
PRIO3.SA,PETRO RIO ON,BRAZIL,ENEGY,0.0011304034871638838,0.015174073160266595,3,0.02208174045719577,0.0656967347261872
JUBI.NS,JUBILANT FOODWORKS,INDIA,CODIS,0.0011092358002548807,0.0016666666671721166,26,0.026621659207969505,0.7477950669850499
HPCL.NS,HINDUSTAN PETROLEUM,INDIA,ENEGY,0.0010638380205375952,0.006572116273330071,2,-0.0004246893493331516,-0.021566127617021702
9992.HK,POP MART INTERNATIONAL GROUP,CHINA,CODIS,0.0010191192800796667,0.0016666666666666666,2,0.3057357840239,0.6666697207335077
ENELCHILE.SN,ENEL CHILE,CHILE,UTILS,0.0010022719598823822,0.006648901662716055,15,-0.001842446279530407,-0.08591987575690119
BPCL.NS,BHARAT PETROLEUM,INDIA,ENEGY,0.0009858688591179005,0.006009937137958443,6,0.012081729274385701,0.06519072058950548
2020.HK,ANTA SPORTS PRODUCTS,CHINA,CODIS,0.000981802249481212,0.0016466346157952933,32,0.018192175828723206,0.5339510284983398
028260.KS,SAMSUNG C&T,SOUTH KOREA,INDUS,0.000979455930417247,0.002065359477124183,34,0.013534293237728817,0.36550969849160575
011170.KS,LOTTE CHEMICAL,SOUTH KOREA,INDUS,0.00092887530864843,0.002,31,0.01498185981691016,0.34143977611111276
INFY.NS,INFOSYS,INDIA,TECNO,0.0009224150678473158,0.019268237288444873,76,5.383432583055155e-06,-0.18207808458188135
000810.KS,SAMSUNG FIRE & MAR.IN.,SOUTH KOREA,FINAN,0.0009146012993924006,0.0023553614406310996,69,0.005231515070247477,0.2758731145018949
DIAL.KL,DIALOG GROUP,MALAYSIA,ENEGY,0.0009068525387683677,0.002650375939849624,19,0.018921858178542427,0.3836006470503832
GLOB.K,GLOBANT,LUXEMBOURG,TECNO,0.0008936382260118442,0.020000000000000004,1,0.0446819113005922,0.04468191130059229
