ym,static_tc_bps,years_from_base,decay_factor,time_varying_tc_bps,commission_bps,spread_bps,impact_bps
2019-02-01,44.61248374723606,5.084188911704312,0.8792196567318175,39.224172646198674,15.61436931153262,20.07561768625623,8.922496749447212
2019-03-01,45.77973966594368,5.160848733744011,0.8775148705614809,40.17240232729886,16.022908883080287,20.600882849674658,9.155947933188736
2019-04-01,45.95665793138502,5.245722108145106,0.875631284223727,40.241087403089196,16.084830275984753,20.680496069123258,9.191331586277004
2019-05-01,45.18780282500183,5.327857631759069,0.8738123084127717,39.485658298616016,15.81573098875064,20.334511271250825,9.037560565000367
2019-06-01,45.14001529793969,5.412731006160164,0.871936669627489,39.35923460581944,15.79900535427889,20.313006884072863,9.028003059587938
2019-07-01,45.04127337812122,5.494866529774128,0.8701253687531222,39.19155460724791,15.764445682342425,20.268573020154548,9.008254675624244
2019-08-01,44.320491508147086,5.579739904175223,0.868257643986626,38.481605537193055,15.512172027851479,19.94422117866619,8.864098301629417
2019-09-01,43.22953506126285,5.664613278576318,0.866393928292763,37.45380669999725,15.130337271441997,19.453290777568284,8.64590701225257
2019-10-01,42.227522739158005,5.746748802190281,0.8645941415255277,36.50966877141202,14.779632958705301,19.0023852326211,8.445504547831602
2019-11-01,43.425477546873466,5.831622176591376,0.8627382895424867,37.46482222135528,15.198917141405712,19.54146489609306,8.685095509374694
2019-12-01,43.57690039353718,5.9137577002053385,0.8609460967461158,37.51736230211011,15.251915137738012,19.60960517709173,8.715380078707437
2020-01-01,43.044900067326076,5.9986310746064335,0.8590980752939712,36.97979079906116,15.065715023564126,19.370205030296734,8.608980013465215
2020-02-01,44.17178304911495,6.083504449007529,0.8572540206212806,37.86643861686472,15.46012406719023,19.877302372101727,8.83435660982299
2020-03-01,43.196156802248844,6.16290212183436,0.8555325208279898,36.95571691910907,15.118654880787094,19.43827056101198,8.639231360449768
2020-04-01,43.028696056389734,6.247775496235455,0.853696119620675,36.73343085567736,15.060043619736406,19.36291322537538,8.605739211277948
