date,BMATR,CODIS,COSTP,ENEGY,FINAN,HLTHC,INDUS,RLEST,TECNO,TELCM,UTILS
2021-10-01,0.2,0.020000000000000004,0.02,0.020000000000000004,0.02,0.07999999999999996,0.2,0.020000000000000018,0.2,0.02,0.2
2021-11-01,0.2,0.020000000000000004,0.02,0.020000000000000004,0.02,0.07999999999999996,0.2,0.020000000000000018,0.2,0.02,0.2
2021-12-01,0.15382864203312263,0.020000000000000004,0.06617136072226798,0.02,0.02,0.07999999724460942,0.2,0.02,0.2,0.02,0.2
2022-01-01,0.15382861732957162,0.020000000000000004,0.06617135623158688,0.02,0.02,0.08000002643884152,0.2,0.02,0.2,0.02,0.2
2022-02-01,0.16448226137916577,0.02,0.05551771521851201,0.02,0.02,0.08000002340232229,0.2,0.02,0.2,0.02,0.2
2022-03-01,0.19867332820295625,0.02,0.02132664963350794,0.02,0.02,0.08000002216353576,0.2,0.02,0.2,0.02,0.2
2022-04-01,0.2,0.02,0.02,0.02,0.02,0.08000000000000015,0.2,0.02,0.2,0.02,0.2
2022-05-01,0.2,0.02,0.02,0.02,0.02,0.08000000000000015,0.2,0.02,0.2,0.02,0.2
2022-06-01,0.2,0.02,0.02,0.02,0.02,0.08000000000000015,0.2,0.02,0.2,0.02,0.2
2022-07-01,0.2,0.02,0.02,0.02,0.02,0.08000000000000015,0.2,0.02,0.2,0.02,0.2
2022-08-01,0.2,0.02,0.02,0.02,0.02,0.08000000000000015,0.2,0.02,0.2,0.02,0.2
2022-09-01,0.2,0.02,0.02,0.0200000000000125,0.02,0.07999999999998765,0.2,0.02,0.2,0.02,0.2
2022-10-01,0.2,0.02,0.02,0.0200000000000125,0.02,0.07999999999998765,0.2,0.02,0.2,0.02,0.2
2022-11-01,0.2,0.02,0.02,0.0200000000000125,0.02,0.07999999999998765,0.2,0.02,0.2,0.02,0.2
2022-12-01,0.2,0.02,0.02,0.02000000001238223,0.02,0.07999999998761792,0.2,0.02,0.2,0.02,0.2
2023-01-01,0.2,0.02,0.02,0.02000000001239686,0.02,0.07999999998760329,0.2,0.02,0.2,0.02,0.2
2023-02-01,0.2,0.02,0.02,0.020000000073179328,0.02,0.0799999999268206,0.2,0.020000000000000004,0.2,0.02,0.2
2023-03-01,0.2,0.02,0.02,0.02,0.02,0.020000000000000025,0.2,0.02,0.2,0.07999999999999995,0.2
2023-04-01,0.2,0.02,0.02,0.02,0.02,0.020000000000000025,0.2,0.02,0.2,0.07999999999999995,0.2
2023-05-01,0.2,0.02,0.02,0.02000000072886565,0.02,0.020000000000000025,0.2,0.02,0.2,0.0799999992711343,0.2
2023-06-01,0.2,0.02,0.02,0.02000000072886565,0.02,0.020000000000000025,0.2,0.02,0.2,0.0799999992711343,0.2
2023-07-01,0.07576416258381145,0.02,0.02,0.10040773199754546,0.02,0.020000000000000004,0.2,0.02,0.2,0.12382810541864299,0.2
2023-08-01,0.0757641625835816,0.02,0.02,0.10040773199750666,0.02,0.020000000000000004,0.2,0.02,0.2,0.12382810541891165,0.2
2023-09-01,0.07576357264723443,0.02,0.02,0.1004083223849268,0.02,0.020000000000000004,0.2,0.02,0.2,0.1238281049678387,0.2
2023-10-01,0.0757626660963784,0.02,0.02,0.10040920436009568,0.02,0.020000000000000004,0.2,0.02,0.2,0.12382812954352589,0.2
2023-11-01,0.02799037220325197,0.02,0.020000000000000004,0.07200962779674809,0.02,0.02,0.2,0.02,0.2,0.2,0.2
2023-12-01,0.027990372173384917,0.02,0.020000000000000004,0.07200962782661514,0.02,0.02,0.2,0.02,0.2,0.2,0.2
2024-01-01,0.027990372173379,0.02,0.020000000000000004,0.07200962782662106,0.02,0.02,0.2,0.02,0.2,0.2,0.2
2024-02-01,0.022176530003237657,0.02,0.02,0.15419452124976177,0.020000000000000004,0.02,0.2,0.02,0.2,0.12362894874700048,0.2
2024-03-01,0.02217611581933367,0.02,0.02,0.1541949356347983,0.020000000000000004,0.02,0.2,0.02,0.2,0.12362894854586794,0.2
2024-04-01,0.02217614214570583,0.02,0.02,0.15419491003176977,0.020000000000000004,0.02,0.2,0.02,0.2,0.12362894782252433,0.2
2024-05-01,0.0221761539202014,0.02,0.02,0.15419490730503002,0.020000000000000004,0.02,0.2,0.02,0.2,0.1236289387747685,0.2
2024-06-01,0.022176153787365902,0.02,0.02,0.15419490718755732,0.020000000000000004,0.02,0.2,0.02,0.2,0.1236289390250767,0.2
2024-07-01,0.020000000000000004,0.020000000000000007,0.02,0.11893348136676798,0.020000000000000004,0.020000000000000004,0.2,0.02,0.2,0.161066518633232,0.2
2024-08-01,0.02,0.02,0.020000000000000004,0.11396137067558455,0.02,0.02,0.2,0.020000000000000007,0.2,0.16603862932441532,0.2
2024-09-01,0.02,0.020000000000000004,0.020000000000000004,0.11396136972821971,0.020000000000000004,0.02,0.2,0.02,0.2,0.2,0.16603863027178034
2024-10-01,0.0200016652213394,0.020000000000000004,0.020000000000000004,0.11395970355516082,0.020000000000000004,0.02,0.2,0.02,0.2,0.2,0.16603863122349985
2024-11-01,0.08183303177073661,0.02,0.020000000000000007,0.052128345835918924,0.02,0.02,0.2,0.020000000000000007,0.2,0.2,0.1660386223933445
2024-12-01,0.08183303177071768,0.02,0.020000000000000007,0.05212834583591786,0.02,0.02,0.2,0.020000000000000007,0.2,0.2,0.16603862239336448
2025-01-01,0.047871638660685396,0.020000000000000007,0.020000000000000004,0.052128361339314686,0.020000000000000004,0.02,0.2,0.02,0.2,0.2,0.19999999999999998
2025-02-01,0.047871635171442106,0.02,0.02,0.10100400824620816,0.02,0.02,0.2,0.020000000000000007,0.2,0.2,0.15112435658234985
2025-03-01,0.047871634880309155,0.02,0.02,0.19615379534365915,0.02,0.02,0.2,0.020000000000000007,0.2,0.2,0.05597456977603158
